date,region,country,category,subcategory,segment,quantity,unit_price,revenue,cost,profit,profit_margin
2023-09-22,Asia Pacific,India,Electronics,Accessories,Home Office,3,352.87,1058.61,822.61,236.0,0.2229
2024-10-21,Latin America,Colombia,Electronics,Phones,Corporate,3,305.82,917.46,376.48,540.98,0.5896
2023-04-14,North America,Mexico,Office Supplies,Paper,Consumer,4,264.29,1057.16,609.87,447.29,0.4231
2023-07-24,Europe,Italy,Clothing,Shoes,Consumer,4,180.5,722.0,385.06,336.94,0.4667
2022-08-03,Europe,France,Clothing,Shoes,Corporate,4,408.65,1634.6,1013.52,621.08,0.38
2024-07-20,North America,Canada,Office Supplies,Binders,Consumer,4,433.81,1735.24,1266.67,468.57,0.27
2022-01-03,Latin America,Colombia,Electronics,Computers,Home Office,3,315.09,945.27,566.59,378.68,0.4006
2024-06-24,North America,United States,Office Supplies,Pens,Corporate,4,441.61,1766.44,1049.06,717.38,0.4061
2022-03-01,Europe,Germany,Office Supplies,Paper,Home Office,4,55.67,222.68,177.45,45.23,0.2031
2022-08-21,Latin America,Brazil,Furniture,Desks,Home Office,3,259.35,778.05,396.32,381.73,0.4906
2024-09-15,Latin America,Argentina,Clothing,Pants,Corporate,2,461.72,923.44,557.11,366.33,0.3967
2022-10-07,North America,Canada,Clothing,Outerwear,Home Office,3,412.07,1236.21,634.34,601.87,0.4869
2023-09-04,Latin America,Argentina,Clothing,Shoes,Corporate,3,280.44,841.32,519.41,321.91,0.3826
2024-07-21,Asia Pacific,Japan,Furniture,Desks,Consumer,4,31.39,125.56,87.63,37.93,0.3021
2024-02-20,Latin America,Argentina,Clothing,Shirts,Consumer,5,483.02,2415.1,1286.76,1128.34,0.4672
2022-07-25,Latin America,Brazil,Clothing,Shirts,Home Office,2,210.89,421.78,279.18,142.6,0.3381
2022-11-13,North America,Canada,Office Supplies,Binders,Home Office,4,328.42,1313.68,973.05,340.63,0.2593
2024-12-28,Latin America,Chile,Clothing,Shirts,Home Office,1,125.04,125.04,84.25,40.79,0.3262
2023-08-12,Europe,United Kingdom,Clothing,Shirts,Home Office,1,227.4,227.4,154.09,73.31,0.3224
2022-03-01,North America,Canada,Electronics,Audio,Corporate,3,221.04,663.12,330.02,333.1,0.5023
2024-04-23,Europe,Germany,Furniture,Chairs,Home Office,4,313.66,1254.64,622.72,631.92,0.5037
2022-10-21,Europe,Spain,Office Supplies,Labels,Corporate,1,450.47,450.47,264.02,186.45,0.4139
2023-08-13,Europe,United Kingdom,Clothing,Outerwear,Home Office,3,323.08,969.24,552.2,417.04,0.4303
2023-05-28,Latin America,Chile,Furniture,Desks,Corporate,1,126.23,126.23,79.37,46.86,0.3712
2023-08-29,Asia Pacific,China,Clothing,Outerwear,Consumer,5,433.88,2169.4,1543.15,626.25,0.2887
2022-04-11,Latin America,Chile,Furniture,Storage,Consumer,2,314.24,628.48,421.78,206.7,0.3289
2022-10-08,North America,Mexico,Electronics,Audio,Corporate,1,293.99,293.99,203.72,90.27,0.3071
2022-07-04,Asia Pacific,Australia,Clothing,Pants,Consumer,2,395.39,790.78,593.55,197.23,0.2494
2024-01-20,Asia Pacific,Japan,Office Supplies,Labels,Corporate,3,404.07,1212.21,711.97,500.24,0.4127
2022-06-04,Europe,Germany,Clothing,Outerwear,Consumer,4,16.82,67.28,41.35,25.93,0.3854
2024-07-20,Asia Pacific,Australia,Clothing,Outerwear,Consumer,2,241.02,482.04,312.27,169.77,0.3522
2023-11-03,Europe,United Kingdom,Clothing,Outerwear,Home Office,4,67.17,268.68,112.35,156.33,0.5818
2022-03-18,Asia Pacific,India,Electronics,Phones,Consumer,5,76.48,382.4,222.35,160.05,0.4185
2024-05-08,Europe,Spain,Electronics,Accessories,Home Office,4,470.14,1880.56,962.65,917.91,0.4881
2024-01-29,Europe,Spain,Clothing,Pants,Corporate,1,490.65,490.65,268.35,222.3,0.4531
2024-01-05,North America,Canada,Office Supplies,Pens,Consumer,4,54.92,219.68,106.51,113.17,0.5152
2022-02-13,North America,Canada,Furniture,Tables,Home Office,2,43.62,87.24,61.6,25.64,0.2939
2023-03-01,Europe,Germany,Office Supplies,Pens,Home Office,1,145.86,145.86,115.76,30.1,0.2064
2022-09-24,Asia Pacific,Japan,Electronics,Phones,Consumer,1,185.54,185.54,132.73,52.81,0.2846
2023-10-26,North America,United States,Office Supplies,Paper,Consumer,4,267.78,1071.12,747.93,323.19,0.3017
2024-09-02,Latin America,Chile,Electronics,Accessories,Home Office,2,473.25,946.5,395.02,551.48,0.5827
2024-12-03,Asia Pacific,India,Electronics,Phones,Corporate,4,218.87,875.48,388.0,487.48,0.5568
2024-06-27,North America,United States,Office Supplies,Pens,Consumer,2,144.76,289.52,189.12,100.4,0.3468
2023-10-28,Latin America,Chile,Clothing,Shoes,Consumer,1,427.87,427.87,282.55,145.32,0.3396
2023-03-17,Latin America,Colombia,Furniture,Desks,Corporate,4,205.38,821.52,568.36,253.16,0.3082
2023-10-03,Latin America,Chile,Office Supplies,Binders,Consumer,4,42.9,171.6,125.73,45.87,0.2673
2022-07-10,Latin America,Brazil,Office Supplies,Pens,Home Office,1,297.37,297.37,185.75,111.62,0.3754
2023-11-07,North America,Canada,Office Supplies,Labels,Home Office,1,484.52,484.52,310.17,174.35,0.3598
2023-12-22,North America,Mexico,Furniture,Tables,Home Office,4,119.88,479.52,212.57,266.95,0.5567
2024-01-23,North America,Canada,Furniture,Desks,Home Office,5,310.65,1553.25,1020.61,532.64,0.3429
2022-02-23,Asia Pacific,China,Furniture,Storage,Home Office,3,461.55,1384.65,748.28,636.37,0.4596
2023-01-07,Europe,Italy,Clothing,Shirts,Consumer,1,54.96,54.96,33.65,21.31,0.3877
2024-02-10,Latin America,Colombia,Office Supplies,Pens,Corporate,3,363.58,1090.74,775.23,315.51,0.2893
2022-06-23,North America,United States,Furniture,Chairs,Home Office,1,143.33,143.33,95.28,48.05,0.3352
2024-09-21,Latin America,Colombia,Office Supplies,Pens,Home Office,1,179.13,179.13,79.6,99.53,0.5556
2024-09-23,Asia Pacific,China,Furniture,Desks,Home Office,1,13.77,13.77,7.17,6.6,0.4793
2023-03-09,Europe,France,Office Supplies,Binders,Consumer,1,253.72,253.72,145.19,108.53,0.4278
2022-09-22,Latin America,Argentina,Office Supplies,Paper,Corporate,1,223.75,223.75,130.65,93.1,0.4161
2022-06-09,Asia Pacific,South Korea,Clothing,Shoes,Home Office,4,151.86,607.44,341.39,266.05,0.438
2023-10-28,Europe,Italy,Clothing,Outerwear,Consumer,4,423.8,1695.2,843.07,852.13,0.5027
2024-03-31,North America,Canada,Office Supplies,Binders,Consumer,3,391.77,1175.31,506.03,669.28,0.5694
2022-08-22,Europe,France,Office Supplies,Pens,Consumer,1,81.76,81.76,39.16,42.6,0.521
2022-11-10,North America,United States,Clothing,Shoes,Home Office,5,229.96,1149.8,884.96,264.84,0.2303
2023-10-24,Asia Pacific,Japan,Clothing,Shirts,Corporate,4,319.38,1277.52,917.94,359.58,0.2815
2022-04-26,Asia Pacific,South Korea,Electronics,Audio,Corporate,4,28.43,113.72,62.26,51.46,0.4525
2023-08-11,North America,Mexico,Electronics,Accessories,Corporate,5,281.62,1408.1,1009.22,398.88,0.2833
2022-03-26,Latin America,Argentina,Office Supplies,Labels,Home Office,2,479.28,958.56,556.17,402.39,0.4198
2023-12-05,North America,Mexico,Furniture,Chairs,Consumer,4,495.58,1982.32,1208.48,773.84,0.3904
2022-11-22,Asia Pacific,Australia,Office Supplies,Labels,Corporate,3,342.66,1027.98,432.72,595.26,0.5791
2023-11-17,North America,Canada,Electronics,Accessories,Corporate,3,364.63,1093.89,724.84,369.05,0.3374
2022-11-04,Asia Pacific,China,Furniture,Storage,Corporate,4,73.19,292.76,200.11,92.65,0.3165
2022-06-23,Asia Pacific,South Korea,Clothing,Outerwear,Consumer,5,55.79,278.95,186.39,92.56,0.3318
2024-11-07,Asia Pacific,China,Office Supplies,Binders,Consumer,2,177.45,354.9,250.72,104.18,0.2935
2023-01-29,Europe,Germany,Furniture,Chairs,Corporate,1,258.77,258.77,159.38,99.39,0.3841
2024-12-14,North America,Mexico,Office Supplies,Pens,Home Office,4,85.58,342.32,161.69,180.63,0.5277
2022-12-06,Latin America,Brazil,Clothing,Outerwear,Home Office,2,485.1,970.2,625.04,345.16,0.3558
2024-07-08,Europe,Italy,Furniture,Storage,Corporate,2,190.24,380.48,296.34,84.14,0.2211
2024-06-21,Latin America,Chile,Clothing,Shoes,Consumer,2,402.62,805.24,366.67,438.57,0.5446
2023-05-28,North America,Mexico,Clothing,Outerwear,Home Office,1,358.59,358.59,217.44,141.15,0.3936
2022-09-13,Asia Pacific,China,Furniture,Storage,Corporate,5,82.2,411.0,236.32,174.68,0.425
2023-03-31,Latin America,Chile,Electronics,Accessories,Consumer,4,255.98,1023.92,506.14,517.78,0.5057
2022-06-17,Asia Pacific,Japan,Electronics,Audio,Consumer,3,397.78,1193.34,543.02,650.32,0.545
2023-08-11,Latin America,Argentina,Clothing,Shoes,Home Office,1,453.87,453.87,185.0,268.87,0.5924
2023-03-18,Europe,Italy,Clothing,Shirts,Corporate,2,157.56,315.12,132.07,183.05,0.5809
2024-05-09,Latin America,Brazil,Electronics,Accessories,Home Office,5,18.05,90.25,54.71,35.54,0.3938
2023-05-11,Europe,France,Clothing,Shirts,Home Office,3,127.88,383.64,217.38,166.26,0.4334
2022-06-25,Asia Pacific,China,Electronics,Accessories,Corporate,1,321.48,321.48,254.75,66.73,0.2076
2023-06-04,North America,Canada,Electronics,Audio,Consumer,1,388.04,388.04,269.33,118.71,0.3059
2023-11-12,Europe,United Kingdom,Office Supplies,Binders,Home Office,2,416.89,833.78,561.86,271.92,0.3261
2024-09-07,Europe,Germany,Electronics,Accessories,Consumer,3,108.78,326.34,233.8,92.54,0.2836
2022-03-27,Asia Pacific,Australia,Clothing,Shoes,Corporate,1,379.11,379.11,180.62,198.49,0.5236
2024-01-02,North America,Mexico,Office Supplies,Binders,Consumer,3,224.11,672.33,376.51,295.82,0.44
2024-06-19,Latin America,Chile,Furniture,Desks,Home Office,4,190.0,760.0,546.38,213.62,0.2811
2023-07-01,North America,Mexico,Clothing,Shirts,Corporate,5,497.6,2488.0,1174.79,1313.21,0.5278
2023-08-25,Asia Pacific,China,Electronics,Audio,Home Office,3,160.18,480.54,308.05,172.49,0.359
2024-05-22,Europe,Spain,Office Supplies,Labels,Consumer,3,311.28,933.84,536.0,397.84,0.426
2022-04-28,North America,Mexico,Clothing,Outerwear,Home Office,2,476.87,953.74,435.97,517.77,0.5429
2024-06-16,North America,United States,Electronics,Computers,Home Office,3,187.45,562.35,438.51,123.84,0.2202
2022-03-08,Europe,Spain,Office Supplies,Binders,Corporate,1,291.22,291.22,178.16,113.06,0.3882
2024-03-26,Asia Pacific,Australia,Furniture,Chairs,Consumer,2,254.53,509.06,282.42,226.64,0.4452
2022-08-30,Asia Pacific,Australia,Clothing,Pants,Home Office,3,350.05,1050.15,839.54,210.61,0.2006
2023-02-14,North America,United States,Electronics,Accessories,Consumer,4,498.66,1994.64,1444.53,550.11,0.2758
2023-10-17,Asia Pacific,China,Office Supplies,Binders,Consumer,2,398.91,797.82,481.49,316.33,0.3965
2022-09-06,Europe,Germany,Furniture,Desks,Consumer,3,281.47,844.41,462.37,382.04,0.4524
2022-09-23,North America,United States,Office Supplies,Labels,Home Office,4,267.59,1070.36,757.46,312.9,0.2923
2022-06-01,Europe,France,Electronics,Accessories,Corporate,5,178.81,894.05,671.6,222.45,0.2488
2023-01-08,Europe,Spain,Electronics,Phones,Home Office,2,159.02,318.04,147.82,170.22,0.5352
2023-04-07,Asia Pacific,South Korea,Office Supplies,Paper,Corporate,2,321.18,642.36,398.48,243.88,0.3797
2022-09-14,Asia Pacific,South Korea,Electronics,Computers,Home Office,5,85.56,427.8,283.84,143.96,0.3365
2023-11-23,North America,United States,Electronics,Phones,Home Office,5,139.68,698.4,338.25,360.15,0.5157
2024-05-03,North America,Canada,Office Supplies,Binders,Corporate,2,404.3,808.6,544.99,263.61,0.326
2023-09-02,Latin America,Brazil,Electronics,Computers,Corporate,4,247.28,989.12,476.37,512.75,0.5184
2022-10-22,Asia Pacific,Australia,Office Supplies,Labels,Consumer,3,262.34,787.02,348.24,438.78,0.5575
2023-05-11,Latin America,Brazil,Office Supplies,Labels,Consumer,2,57.44,114.88,59.29,55.59,0.4839
2024-02-26,Latin America,Argentina,Furniture,Storage,Home Office,3,103.02,309.06,143.32,165.74,0.5363
2024-11-20,Latin America,Colombia,Office Supplies,Labels,Consumer,1,473.16,473.16,284.93,188.23,0.3978
2023-05-09,Europe,Italy,Office Supplies,Paper,Consumer,3,252.5,757.5,570.35,187.15,0.2471
2024-08-21,Asia Pacific,South Korea,Electronics,Phones,Corporate,2,442.4,884.8,611.4,273.4,0.309
2024-04-05,Asia Pacific,China,Clothing,Shirts,Home Office,5,105.38,526.9,327.36,199.54,0.3787
2022-05-31,Latin America,Colombia,Office Supplies,Paper,Consumer,1,203.01,203.01,145.75,57.26,0.2821
2023-11-26,Asia Pacific,Japan,Furniture,Desks,Home Office,1,32.2,32.2,14.65,17.55,0.545
2023-11-14,Latin America,Colombia,Furniture,Tables,Corporate,5,166.08,830.4,462.68,367.72,0.4428
2023-09-05,Asia Pacific,South Korea,Clothing,Outerwear,Corporate,1,190.5,190.5,127.54,62.96,0.3305
2024-05-03,Asia Pacific,China,Clothing,Outerwear,Home Office,5,293.04,1465.2,1008.88,456.32,0.3114
2024-09-10,Europe,Italy,Clothing,Pants,Home Office,2,25.47,50.94,39.7,11.24,0.2207
2022-08-14,Europe,United Kingdom,Clothing,Outerwear,Corporate,2,212.35,424.7,204.52,220.18,0.5184
2024-10-24,Latin America,Brazil,Furniture,Tables,Home Office,3,499.08,1497.24,885.39,611.85,0.4087
2024-02-11,Asia Pacific,Japan,Clothing,Outerwear,Home Office,3,341.18,1023.54,764.65,258.89,0.2529
2023-06-26,Latin America,Argentina,Furniture,Storage,Home Office,3,120.18,360.54,284.53,76.01,0.2108
2023-09-02,Asia Pacific,Japan,Clothing,Outerwear,Corporate,3,284.64,853.92,660.76,193.16,0.2262
2023-07-15,Asia Pacific,China,Clothing,Shoes,Corporate,2,152.32,304.64,156.91,147.73,0.4849
2022-06-11,Asia Pacific,India,Office Supplies,Labels,Consumer,2,415.7,831.4,422.73,408.67,0.4915
2023-07-11,Europe,United Kingdom,Furniture,Tables,Consumer,5,120.58,602.9,297.31,305.59,0.5069
2022-07-25,Latin America,Chile,Clothing,Shirts,Home Office,2,12.54,25.08,15.55,9.53,0.38
2022-11-20,Latin America,Colombia,Clothing,Pants,Corporate,3,149.85,449.55,190.46,259.09,0.5763
2022-07-03,Europe,Italy,Electronics,Computers,Corporate,2,467.62,935.24,387.69,547.55,0.5855
2024-03-24,Latin America,Argentina,Office Supplies,Paper,Consumer,3,288.3,864.9,383.08,481.82,0.5571
2023-11-18,Asia Pacific,India,Clothing,Pants,Home Office,4,143.69,574.76,415.85,158.91,0.2765
2023-11-09,Europe,Spain,Office Supplies,Pens,Consumer,3,397.48,1192.44,747.79,444.65,0.3729
2023-01-31,Europe,Italy,Clothing,Shoes,Home Office,3,52.5,157.5,105.16,52.34,0.3323
2023-01-14,Europe,Spain,Office Supplies,Pens,Consumer,3,197.95,593.85,343.66,250.19,0.4213
2023-07-01,Asia Pacific,Australia,Electronics,Audio,Home Office,3,349.46,1048.38,445.4,602.98,0.5752
2022-08-31,Latin America,Chile,Furniture,Desks,Home Office,5,462.32,2311.6,1745.54,566.06,0.2449
2023-09-29,North America,Mexico,Office Supplies,Binders,Home Office,2,117.37,234.74,106.44,128.3,0.5466
2022-11-10,Latin America,Chile,Clothing,Shoes,Home Office,2,383.31,766.62,515.27,251.35,0.3279
2022-06-17,Latin America,Chile,Electronics,Phones,Consumer,5,452.42,2262.1,1087.76,1174.34,0.5191
2022-11-03,Europe,France,Clothing,Shirts,Home Office,2,361.29,722.58,430.32,292.26,0.4045
2024-11-11,Latin America,Brazil,Clothing,Pants,Home Office,4,233.83,935.32,395.73,539.59,0.5769
2024-08-04,Asia Pacific,China,Clothing,Outerwear,Consumer,2,293.37,586.74,245.33,341.41,0.5819
2023-12-07,North America,Mexico,Electronics,Phones,Corporate,1,150.67,150.67,71.12,79.55,0.528
2022-10-05,Latin America,Chile,Clothing,Shoes,Corporate,4,49.32,197.28,154.99,42.29,0.2144
2022-09-30,Asia Pacific,China,Furniture,Desks,Home Office,2,366.65,733.3,358.64,374.66,0.5109
2022-01-08,North America,Canada,Clothing,Shoes,Home Office,4,413.45,1653.8,825.25,828.55,0.501
2023-12-10,Europe,France,Furniture,Chairs,Consumer,4,311.31,1245.24,964.43,280.81,0.2255
2022-02-02,Europe,Germany,Electronics,Phones,Home Office,1,228.76,228.76,153.0,75.76,0.3312
2022-04-10,Europe,United Kingdom,Clothing,Shoes,Consumer,5,116.46,582.3,434.1,148.2,0.2545
2022-04-26,Europe,Italy,Office Supplies,Pens,Home Office,5,166.26,831.3,531.34,299.96,0.3608
2023-10-19,Europe,France,Furniture,Tables,Corporate,3,144.83,434.49,270.55,163.94,0.3773
2022-12-25,Latin America,Colombia,Electronics,Audio,Home Office,4,395.04,1580.16,833.52,746.64,0.4725
2024-05-02,Latin America,Argentina,Office Supplies,Labels,Consumer,5,242.02,1210.1,895.15,314.95,0.2603
2023-09-08,Europe,Spain,Electronics,Accessories,Corporate,5,269.7,1348.5,748.91,599.59,0.4446
2023-06-07,Europe,France,Electronics,Accessories,Corporate,1,272.46,272.46,199.38,73.08,0.2682
2022-04-16,Asia Pacific,India,Electronics,Phones,Consumer,5,364.91,1824.55,1137.68,686.87,0.3765
2024-09-08,Europe,France,Office Supplies,Paper,Consumer,2,481.42,962.84,430.32,532.52,0.5531
2024-09-07,Europe,Italy,Furniture,Desks,Consumer,5,167.59,837.95,430.06,407.89,0.4868
2024-08-12,Asia Pacific,Australia,Office Supplies,Binders,Home Office,4,238.34,953.36,687.49,265.87,0.2789
2024-08-19,Asia Pacific,Japan,Office Supplies,Binders,Corporate,1,285.64,285.64,139.54,146.1,0.5115
2022-10-26,North America,Canada,Clothing,Outerwear,Consumer,2,171.63,343.26,189.46,153.8,0.4481
2023-05-19,Latin America,Chile,Office Supplies,Labels,Home Office,4,235.81,943.24,653.77,289.47,0.3069
2023-12-23,Europe,Germany,Clothing,Pants,Home Office,1,266.73,266.73,196.21,70.52,0.2644
2022-06-02,North America,United States,Clothing,Pants,Home Office,2,43.3,86.6,39.87,46.73,0.5396
